state,ctl00$ddBuyerType,Case_number,Bid_Submission_Deadline,Address,Bed_Bath,Total_Rooms,SQ_Ft,Year,Property_Design,HOA_Fees,List_Date,Listing_Period,Period_Deadline,List_Price,FHA_Financing,203k_Eligible,Bid_Submission_Time_Remaining,Parking,Foundation,basement,stories,lotsize,image,image 2,image 3,image 4,image 5,image file name,image 2 file name,image 3 file name,image 4 file name,image 5 file name,New Time Deadline,Half,Bed,Bath,Price_Halved,Latitude,Longitude,street_number,route,administrative_area_level_2,administrative_area_level_1,short_state,postal_code,country
CO,Good Neighbor Next Door,052-454132,12/9/2017 11:59:59 PM CT,"525 Chestnut St Sterling, CO, 80751 Logan County",2/1.00,6,1547,1911,,$0.00 ,12/3/17,Lottery,12/9/2017 11:59:59 PM CT,65000,IE (Insured Escrow) *,Yes *,2 Days 20 Hours 11 Minutes,Driveway (1 space),CrawlSpace,,1,10537,C:\scraper\gnnd\fed_files\Front_57243803.png,C:\scraper\gnnd\fed_files\Kit_57243804.png,C:\scraper\gnnd\fed_files\LR_57243805.png,C:\scraper\gnnd\fed_files\LRv2_57243818.png,C:\scraper\gnnd\fed_files\Nook_57243819.png,Front_57243803.png,Kit_57243804.png,LR_57243805.png,LRv2_57243818.png,Nook_57243819.png,12/9/17,32500,2,1,"32,500",,,,,,,,,
CT,Good Neighbor Next Door,061-323987,12/12/2017 11:59:59 PM CT,"16 Tower Avenue Hartford, CT, 06120 Hartford County",3/1.00,6,1374,1932,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,65000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 11 Minutes,Carport (1 space),Basement,Unfinished,1,6875,C:\scraper\gnnd\fed_files\061-323987_-_front_6_57201887.jpg,C:\scraper\gnnd\fed_files\061-323987_-_back_2_57201888.jpg,C:\scraper\gnnd\fed_files\061-323987_-_back_3_57201889.jpg,C:\scraper\gnnd\fed_files\061-323987_-_back_57201903.jpg,C:\scraper\gnnd\fed_files\061-323987_-_bedroom_1_2_57201904.jpg,061-323987_-_front_6_57201887.jpg,061-323987_-_back_2_57201888.jpg,061-323987_-_back_3_57201889.jpg,061-323987_-_back_57201903.jpg,061-323987_-_bedroom_1_2_57201904.jpg,12/12/201,32500,3,1,"32,500",,,,,,,,,
IN,Good Neighbor Next Door,151-671156,12/13/2017 11:59:59 PM CT,"136 Delorenzi Ave Mishawaka, IN, 46544 St Joseph County",1/1.00,3,600,1926,,$0.00 ,12/7/17,Lottery,12/13/2017 11:59:59 PM CT,40000,UI (Uninsured),Yes,6 Days 20 Hours 10 Minutes,None,Basement,Partial,1,5120,C:\scraper\gnnd\fed_files\151-671156_FRONT_57273136.png,C:\scraper\gnnd\fed_files\151-671156_REAR_57273137.png,C:\scraper\gnnd\fed_files\151-671156_LIVING_57273138.png,C:\scraper\gnnd\fed_files\151-671156_KITCHEN_57273142.png,,151-671156_FRONT_57273136.png,151-671156_REAR_57273137.png,151-671156_LIVING_57273138.png,151-671156_KITCHEN_57273142.png,#VALUE!,12/13/201,20000,1,1,"20,000",,,,,,,,,
MI,Good Neighbor Next Door,261-887353,12/12/2017 11:59:59 PM CT,"19967 Pinehurst Detroit, MI, 48221 Wayne County",3/1.00,5,998,1950,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,20000,UI (Uninsured),Yes,5 Days 20 Hours 9 Minutes,Carport (1 space),Basement,Partial,1.5,4620,C:\scraper\gnnd\fed_files\261-887353_frt_57255856.jpg,C:\scraper\gnnd\fed_files\261-887353_bdrm_2_57255857.jpg,C:\scraper\gnnd\fed_files\261-887353_bdrm_57255858.jpg,C:\scraper\gnnd\fed_files\261-887353_bk_57255862.jpg,C:\scraper\gnnd\fed_files\261-887353_ktch_57255863.jpg,261-887353_frt_57255856.jpg,261-887353_bdrm_2_57255857.jpg,261-887353_bdrm_57255858.jpg,261-887353_bk_57255862.jpg,261-887353_ktch_57255863.jpg,12/12/201,10000,3,1,"10,000",,,,,,,,,
NC,Good Neighbor Next Door,381-780861,12/12/2017 11:59:59 PM CT,"1112 Ardmore Dr. Greensboro, NC, 27401 Guilford County",3/2.00,5,1193,1964,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,53500,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 9 Minutes,Carport (2 spaces),CrawlSpace,,1,11400,C:\scraper\gnnd\fed_files\Front_view_56982875_57276043.jpg,C:\scraper\gnnd\fed_files\living_room_56982901_57276044.jpg,C:\scraper\gnnd\fed_files\master_bedroom_56982918_57276045.jpg,C:\scraper\gnnd\fed_files\bedroom_2_56982926_57276109.jpg,C:\scraper\gnnd\fed_files\Rear_view_56982883_57276110.jpg,Front_view_56982875_57276043.jpg,living_room_56982901_57276044.jpg,master_bedroom_56982918_57276045.jpg,bedroom_2_56982926_57276109.jpg,Rear_view_56982883_57276110.jpg,12/12/201,26750,3,2,"26,750",,,,,,,,,
NJ,Good Neighbor Next Door,352-561860,12/12/2017 11:59:59 PM CT,"135-137 Johnston Av Plainfield, NJ, 07062 Union County",3/1.10,6,1806,1921,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,110000,UI (Uninsured),Yes,5 Days 20 Hours 8 Minutes,Driveway (1 space),Basement,Partial,1,7550,C:\scraper\gnnd\fed_files\352-561860_-_Front_57203808.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Attic_Room_1_57203809.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Basement_Bonus_Room_a_57203810.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Basement_Kitchen_57203814.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Bedroom_1b_57203815.jpg,352-561860_-_Front_57203808.jpg,352-561860_-_Attic_Room_1_57203809.jpg,352-561860_-_Basement_Bonus_Room_a_57203810.jpg,352-561860_-_Basement_Kitchen_57203814.jpg,352-561860_-_Bedroom_1b_57203815.jpg,12/12/201,55000,3,1.1,"55,000",,,,,,,,,
NM,Good Neighbor Next Door,361-215564,12/9/2017 11:59:59 PM CT,"1601 Pennsylvania St NE Unit I-09 Albuquerque, NM, 87110 Bernalillo County",1/1.00,3,437,1978,,$258.00 Monthly,12/3/17,Lottery,12/9/2017 11:59:59 PM CT,37000,IE (Insured Escrow) *,Yes *,2 Days 20 Hours 8 Minutes,Carport (1 space),Slab,,1,437,C:\scraper\gnnd\fed_files\Front_57249026.png,C:\scraper\gnnd\fed_files\Kit_57249027.png,C:\scraper\gnnd\fed_files\LR_57249028.png,C:\scraper\gnnd\fed_files\Patio_57249062.png,,Front_57249026.png,Kit_57249027.png,LR_57249028.png,Patio_57249062.png,#VALUE!,12/9/17,18500,1,1,"18,500",,,,,,,,,
OH,Good Neighbor Next Door,411-302105,12/7/2017 11:59:59 PM CT,"4220 Winona Ave Dayton, OH, 45405 Montgomery County",2/1.00,5,912,1945,,$0.00 ,12/1/17,Lottery,12/7/2017 11:59:59 PM CT,16000,IE (Insured Escrow) *,Yes *,0 Days 20 Hours 8 Minutes,Garage (1 space),Basement,Partial,1,6503,C:\scraper\gnnd\fed_files\411-302105_frt_57214770.jpg,C:\scraper\gnnd\fed_files\411-302105_bdrm_2_57214771.jpg,C:\scraper\gnnd\fed_files\411-302105_bdrm_57214772.jpg,C:\scraper\gnnd\fed_files\411-302105_bk_57214784.jpg,C:\scraper\gnnd\fed_files\411-302105_dr_57214785.jpg,411-302105_frt_57214770.jpg,411-302105_bdrm_2_57214771.jpg,411-302105_bdrm_57214772.jpg,411-302105_bk_57214784.jpg,411-302105_dr_57214785.jpg,12/7/17,8000,2,1,"8,000",,,,,,,,,
OH,Good Neighbor Next Door,412-671749,12/12/2017 11:59:59 PM CT,"1421 Norwood Pl NW Canton, OH, 44709 Stark County",3/1.00,6,1335,1926,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,27000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 8 Minutes,Garage (2 spaces),Basement,Unfinished,2,4500,C:\scraper\gnnd\fed_files\412-671749_frt_57262688.jpg,C:\scraper\gnnd\fed_files\412-671749_bdrm_2_57262689.jpg,C:\scraper\gnnd\fed_files\412-671749_bdrm_57262690.jpg,C:\scraper\gnnd\fed_files\412-671749_dr_57262702.jpg,C:\scraper\gnnd\fed_files\412-671749_ktch_57262703.jpg,412-671749_frt_57262688.jpg,412-671749_bdrm_2_57262689.jpg,412-671749_bdrm_57262690.jpg,412-671749_dr_57262702.jpg,412-671749_ktch_57262703.jpg,12/12/201,13500,3,1,"13,500",,,,,,,,,
OH,Good Neighbor Next Door,412-690092,12/12/2017 11:59:59 PM CT,"3758 W 130th St Cleveland, OH, 44111 Cuyahoga County",4/1.00,7,1478,1922,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,30000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 8 Minutes,Driveway (1 space),Basement,Unfinished,1.5,5663,C:\scraper\gnnd\fed_files\412-690092_frt_57272985.jpg,C:\scraper\gnnd\fed_files\412-690092_bdrm_2_57272986.jpg,C:\scraper\gnnd\fed_files\412-690092_bdrm_57272987.jpg,C:\scraper\gnnd\fed_files\412-690092_bk_57272995.jpg,C:\scraper\gnnd\fed_files\412-690092_ktch_57272996.jpg,412-690092_frt_57272985.jpg,412-690092_bdrm_2_57272986.jpg,412-690092_bdrm_57272987.jpg,412-690092_bk_57272995.jpg,412-690092_ktch_57272996.jpg,12/12/201,15000,4,1,"15,000",,,,,,,,,
